"DateTime","M0000199","M0000200","M0000201","M0000202"
2017-07-03,113.37,1.1364,1.2941,0.9636
2017-07-04,113.29,1.1346,1.2919,0.9655
2017-07-05,113.27,1.1351,1.2934,0.9641
2017-07-06,113.21,1.1424,1.2973,0.9606
2017-07-07,113.905,1.1402,1.2889,0.964
2017-07-10,114.05,1.1399,1.2882,0.9656
2017-07-11,113.945,1.1466,1.2848,0.9638
2017-07-12,113.17,1.1411,1.2884,0.9655
2017-07-13,113.29,1.1397,1.2939,0.9673
2017-07-14,112.525,1.1469,1.3101,0.9636
2017-07-17,112.62,1.148,1.3055,0.9624
2017-07-18,112.07,1.1554,1.3041,0.9551
2017-07-19,111.965,1.1515,1.3024,0.9555
2017-07-20,111.905,1.1631,1.2974,0.9513
2017-07-21,111.15,1.1663,1.2999,0.9456
2017-07-24,111.1,1.1642,1.3029,0.9464
2017-07-25,111.885,1.1647,1.3026,0.9525
2017-07-26,111.185,1.1734,1.3123,0.9508
2017-07-27,111.25,1.1676,1.3066,0.965
2017-07-28,110.685,1.175,1.3136,0.9687
2017-07-31,110.25,1.1841,1.3216,0.967
2017-08-01,110.365,1.1802,1.3204,0.9657
2017-08-02,110.735,1.1856,1.3224,0.9711
2017-08-03,110.05,1.1869,1.3137,0.9685
2017-08-04,110.695,1.1774,1.3037,0.9728
2017-08-07,110.745,1.1795,1.3034,0.9732
2017-08-08,110.425,1.1759,1.2984,0.9752
2017-08-09,110.065,1.1759,1.3004,0.9636
2017-08-10,109.205,1.1773,1.2976,0.9626
2017-08-11,109.2,1.1821,1.3011,0.9621
2017-08-14,109.63,1.178,1.2965,0.9721
2017-08-15,110.67,1.1735,1.287,0.9726
2017-08-16,110.19,1.1767,1.2892,0.9658
2017-08-17,109.57,1.1723,1.2868,0.963
2017-08-18,109.22,1.1761,1.2875,0.9649
2017-08-21,108.97,1.1814,1.29,0.962
2017-08-22,109.575,1.1763,1.2822,0.9683
2017-08-23,109.03,1.1807,1.2799,0.9656
2017-08-24,109.55,1.1799,1.2801,0.9655
2017-08-25,109.34,1.1923,1.2882,0.9566
2017-08-28,109.26,1.1979,1.2933,0.9553
2017-08-29,109.75,1.1972,1.292,0.9555
2017-08-30,110.245,1.1883,1.2924,0.9636
2017-08-31,109.97,1.1909,1.2932,0.9588
2017-09-01,110.245,1.1861,1.2953,0.9647
2017-09-04,109.715,1.1897,1.2929,0.958
2017-09-05,108.81,1.1914,1.3032,0.9554
2017-09-06,109.22,1.1917,1.3044,0.9565
2017-09-07,108.465,1.2022,1.3102,0.9505
2017-09-08,107.835,1.2036,1.3197,0.9443
2017-09-11,109.385,1.1952,1.3164,0.9563
2017-09-12,110.16,1.1967,1.3282,0.9601
2017-09-13,110.49,1.1885,1.321,0.9644
2017-09-14,110.245,1.1919,1.3398,0.9634
2017-09-15,110.825,1.1947,1.359,0.9595
2017-09-18,111.565,1.1954,1.3496,0.9617
2017-09-19,111.605,1.1995,1.3513,0.9626
2017-09-20,112.185,1.1893,1.3494,0.9699
2017-09-21,112.48,1.1941,1.3584,0.9706
2017-09-22,111.99,1.1948,1.3498,0.9694
2017-09-25,111.73,1.1848,1.347,0.9665
2017-09-26,112.23,1.1793,1.3459,0.9686
2017-09-27,112.82,1.1745,1.3386,0.9722
2017-09-28,112.35,1.1787,1.3443,0.9702
2017-09-29,112.515,1.1814,1.3397,0.9681
2017-10-02,112.76,1.1732,1.3276,0.9748
2017-10-03,112.845,1.1743,1.3239,0.9736
2017-10-04,112.75,1.1759,1.3249,0.975
2017-10-05,112.825,1.1712,1.3119,0.9782
2017-10-06,112.65,1.1734,1.3069,0.9778
2017-10-09,112.685,1.174,1.3142,0.9798
2017-10-10,112.445,1.1809,1.3204,0.9752
2017-10-11,112.49,1.1859,1.3224,0.9734
2017-10-12,112.285,1.1831,1.3264,0.9754
2017-10-13,111.84,1.1822,1.3287,0.9745
2017-10-16,112.185,1.1797,1.3252,0.9756
2017-10-17,112.205,1.1767,1.3192,0.9784
2017-10-18,112.925,1.1787,1.3204,0.9817
2017-10-19,112.545,1.1853,1.316,0.9763
2017-10-20,113.5,1.178,1.3189,0.9845
2017-10-23,113.425,1.1749,1.3198,0.9849
2017-10-24,113.91,1.1761,1.3135,0.9911
2017-10-25,113.745,1.1813,1.3264,0.9896
2017-10-26,113.99,1.1651,1.3161,0.9977
2017-10-27,113.67,1.1608,1.3129,0.9977
2017-10-30,113.17,1.1651,1.3209,0.9943
2017-10-31,113.645,1.1645,1.3284,0.9976
2017-11-01,114.185,1.162,1.3247,1.0034
2017-11-02,114.07,1.1658,1.3059,0.9993
2017-11-03,114.06,1.1608,1.3076,1.0005
2017-11-06,113.77,1.1609,1.3175,0.9976
2017-11-07,113.945,1.1591,1.3167,0.9999
2017-11-08,113.81,1.1597,1.3118,0.9999
2017-11-09,113.35,1.1642,1.3147,0.9942
2017-11-10,113.53,1.1665,1.3197,0.9959
2017-11-13,113.63,1.1667,1.3116,0.9964
2017-11-14,113.45,1.1799,1.3164,0.9894
2017-11-15,112.87,1.1793,1.3172,0.9883
2017-11-16,113.03,1.1769,1.3195,0.9942
2017-11-17,112.135,1.1792,1.3217,0.9888
2017-11-20,112.62,1.1732,1.3234,0.9933
2017-11-21,112.44,1.1739,1.3239,0.9915
2017-11-22,111.21,1.1823,1.3325,0.9819
2017-11-23,111.225,1.185,1.3309,0.9819
2017-11-24,111.535,1.1932,1.3341,0.9796
2017-11-27,111.11,1.1899,1.3318,0.9817
2017-11-28,111.485,1.1842,1.3342,0.9841
2017-11-29,111.925,1.1847,1.341,0.9847
2017-11-30,112.53,1.1903,1.3528,0.9837
2017-12-01,112.195,1.1899,1.3478,0.9759
2017-12-04,112.405,1.1867,1.3478,0.985
2017-12-05,112.585,1.1827,1.3442,0.9873
2017-12-06,112.285,1.1795,1.3392,0.9898
2017-12-07,113.085,1.1773,1.3474,0.9944
2017-12-08,113.465,1.1773,1.3385,0.9925
2017-12-11,113.56,1.1769,1.334,0.9919
2017-12-12,113.55,1.1743,1.3318,0.9915
2017-12-13,112.545,1.1827,1.3418,0.9854
2017-12-14,112.405,1.1777,1.3432,0.9892
2017-12-15,112.615,1.1749,1.3321,0.9905
2017-12-18,112.55,1.1781,1.3382,0.9856
2017-12-19,112.885,1.1839,1.3385,0.985
2017-12-20,113.385,1.1871,1.3377,0.9869
2017-12-21,113.325,1.1874,1.3386,0.9884
2017-12-22,113.29,1.1862,1.3362,0.9894
2017-12-25,113.29,1.1873,1.3375,0.9898
2017-12-26,113.225,1.1859,1.3374,0.9893
2017-12-27,113.34,1.1887,1.34,0.9864
2017-12-28,112.865,1.1943,1.3442,0.9786
2017-12-29,112.69,1.2001,1.3506,0.9746
2018-01-01,112.675,1.2007,1.3519,0.9746
2018-01-02,112.285,1.2059,1.3592,0.9716
2018-01-03,112.5,1.2014,1.3516,0.9767
2018-01-04,112.73,1.2068,1.3551,0.9745
2018-01-05,113.06,1.2029,1.3566,0.9747
2018-01-08,113.08,1.1967,1.3568,0.9772
2018-01-09,112.64,1.1937,1.3541,0.9833
2018-01-10,111.43,1.1947,1.3508,0.9784
2018-01-11,111.28,1.203,1.3539,0.9758
2018-01-12,111.01,1.2204,1.3727,0.9674
2018-01-15,110.53,1.2265,1.3794,0.9629
2018-01-16,110.47,1.226,1.3789,0.9593
2018-01-17,111.31,1.2184,1.3827,0.9656
2018-01-18,111.09,1.2239,1.3894,0.9589
2018-01-19,110.79,1.2215,1.385,0.964
2018-01-22,110.93,1.2261,1.3985,0.962
2018-01-23,110.305,1.2299,1.4,0.9578
2018-01-24,109.225,1.2409,1.4239,0.9456
2018-01-25,109.39,1.2396,1.4137,0.9411
2018-01-26,108.63,1.2429,1.4161,0.9333
2018-01-29,108.965,1.2382,1.4076,0.9375
2018-01-30,108.785,1.2403,1.415,0.9341
2018-01-31,109.18,1.24135,1.4193,0.93125
2018-02-01,109.4,1.25105,1.42645,0.92639
2018-02-02,110.17,1.24575,1.41185,0.93151
2018-02-05,109.12,1.2366,1.39595,0.93173
2018-02-06,109.555,1.2377,1.39515,0.936
2018-02-07,109.345,1.2263,1.38815,0.94325
2018-02-08,108.745,1.22465,1.3912,0.93615
2018-02-09,108.8,1.22525,1.3827,0.9396
2018-02-12,108.65,1.2292,1.3838,0.93933
2018-02-13,107.815,1.2352,1.3894,0.935
2018-02-14,107.005,1.245,1.4,0.9294
2018-02-15,106.145,1.2505,1.41,0.92202
2018-02-16,106.28,1.2411,1.40325,0.92718
2018-02-19,106.6,1.24065,1.3999,0.92915
2018-02-20,107.325,1.23375,1.3996,0.9361
2018-02-21,107.77,1.2284,1.3918,0.93892
2018-02-22,106.75,1.233,1.3955,0.93294
2018-02-23,106.885,1.22965,1.3971,0.9364
2018-02-26,106.965,1.23095,1.3965,0.93765
2018-02-27,107.33,1.2233,1.39095,0.9389
2018-02-28,106.675,1.21935,1.3761,0.9445
2018-03-01,106.24,1.2268,1.3776,0.9418
2018-03-02,105.75,1.2318,1.38005,0.9378
2018-03-05,106.2,1.2337,1.3849,0.93995
2018-03-06,106.11,1.24045,1.38885,0.94062
2018-03-07,106.065,1.24105,1.3904,0.94341
2018-03-08,106.205,1.23125,1.3812,0.95103
2018-03-09,106.8,1.2305,1.38515,0.95135
2018-03-12,106.415,1.2335,1.39055,0.94765
2018-03-13,106.57,1.23905,1.39625,0.94399
2018-03-14,106.33,1.2367,1.39625,0.94485
2018-03-15,106.335,1.2305,1.39365,0.9514
2018-03-16,106,1.22905,1.39445,0.95214
2018-03-19,106.085,1.23345,1.4024,0.95102
2018-03-20,106.53,1.2242,1.39985,0.9565
2018-03-21,106.05,1.2338,1.4141,0.9497
2018-03-22,105.285,1.2302,1.4096,0.94917
2018-03-23,104.73,1.23535,1.4133,0.9473
2018-03-26,105.41,1.24465,1.42305,0.94557
2018-03-27,105.335,1.24025,1.4158,0.9468
2018-03-28,106.85,1.2308,1.40765,0.95661
2018-03-29,106.435,1.2301,1.40205,0.95654
2018-03-30,106.285,1.2323,1.40105,0.9538
2018-04-02,105.9,1.2301,1.4044,0.95533
2018-04-03,106.605,1.22705,1.406,0.95875
2018-04-04,106.775,1.22775,1.408,0.96095
2018-04-05,107.385,1.224,1.40025,0.96335
2018-04-06,106.925,1.2282,1.40905,0.95905
2018-04-09,106.78,1.23205,1.41315,0.9562
2018-04-10,107.195,1.2356,1.4176,0.9569
2018-04-11,106.785,1.2367,1.4178,0.95762
2018-04-12,107.345,1.23265,1.4227,0.96235
2018-04-13,107.35,1.233,1.42385,0.96192
2018-04-16,107.12,1.238,1.4338,0.95998
2018-04-17,106.99,1.23695,1.429,0.9662
2018-04-18,107.23,1.2374,1.42035,0.96865
2018-04-19,107.36,1.2345,1.4084,0.97125
2018-04-20,107.66,1.2288,1.40025,0.97475
2018-04-23,108.71,1.2209,1.39405,0.97815
2018-04-24,108.815,1.2232,1.3978,0.9789
2018-04-25,109.425,1.21605,1.39315,0.9832
2018-04-26,109.31,1.2103,1.39145,0.98919
2018-04-27,109.04,1.2131,1.3785,0.9878
2018-04-30,109.34,1.2079,1.37665,0.9907
2018-05-01,109.865,1.1992,1.36145,0.9965
2018-05-02,109.835,1.19505,1.3572,0.99936
2018-05-03,109.185,1.1988,1.3576,0.99757
2018-05-04,109.1,1.19615,1.3531,0.99995
2018-05-07,109.085,1.1923,1.3556,1.0028
2018-05-08,109.125,1.18645,1.3548,1.0018
2018-05-09,109.75,1.1851,1.3546,1.0052
2018-05-10,109.395,1.19155,1.35175,1.0029
2018-05-11,109.395,1.1941,1.3542,1.0005
2018-05-14,109.65,1.19265,1.35585,1.0006
2018-05-15,110.345,1.18375,1.35055,1.0013
2018-05-16,110.39,1.1807,1.3488,1.0012
2018-05-17,110.77,1.1794,1.3515,1.0015
2018-05-18,110.755,1.1771,1.3466,0.9976
2018-05-21,111.05,1.17905,1.3428,0.99725
2018-05-22,110.9,1.1778,1.34325,0.9927
2018-05-23,110.08,1.16965,1.33505,0.99575
2018-05-24,109.255,1.17195,1.33815,0.99145
2018-05-25,109.39,1.1648,1.33005,0.98935
2018-05-28,109.415,1.16245,1.3311,0.9936
2018-05-29,108.76,1.1539,1.3255,0.9913
2018-05-30,108.91,1.1664,1.32815,0.9891
2018-05-31,108.805,1.16925,1.3294,0.98577
2018-06-01,109.515,1.16595,1.33485,0.98785
2018-06-04,109.81,1.16985,1.33125,0.98807
2018-06-05,109.79,1.1719,1.3396,0.98462
2018-06-06,110.19,1.17745,1.3414,0.98655
2018-06-07,109.705,1.17985,1.34225,0.98039
2018-06-08,109.545,1.17685,1.341,0.98495
2018-06-11,110.03,1.17835,1.3382,0.9854
2018-06-12,110.365,1.17445,1.3372,0.98679
2018-06-13,110.35,1.1791,1.33765,0.98556
2018-06-14,110.64,1.1567,1.326,0.99705
2018-06-15,110.67,1.1611,1.32835,0.99765
2018-06-18,110.55,1.1622,1.32465,0.99505
2018-06-19,110.055,1.1589,1.31745,0.99397
2018-06-20,110.35,1.15725,1.3172,0.99605
2018-06-21,109.975,1.1604,1.32415,0.99195
2018-06-22,109.98,1.1658,1.32665,0.9879
2018-06-25,109.77,1.1704,1.328,0.98692
2018-06-26,110.035,1.1648,1.32215,0.9906
2018-06-27,110.26,1.15545,1.31135,0.9971
2018-06-28,110.49,1.1568,1.30775,0.99753
2018-06-29,110.695,1.16835,1.321,0.99045
2018-07-02,110.89,1.1639,1.3142,0.99352
2018-07-03,110.58,1.1659,1.31935,0.9924
2018-07-04,110.51,1.16565,1.32305,0.99272
2018-07-05,110.645,1.169,1.322,0.99356
2018-07-06,110.44,1.17435,1.32865,0.9898
2018-07-09,110.85,1.175,1.32595,0.99161
2018-07-10,110.985,1.1744,1.3274,0.99193
2018-07-11,112.005,1.1674,1.3206,0.99585
2018-07-12,112.525,1.167,1.3206,1.0024
2018-07-13,112.35,1.1686,1.3236,1.0017
2018-07-16,112.285,1.1711,1.32355,0.99685
2018-07-17,112.875,1.1661,1.31145,1.00005
2018-07-18,112.84,1.1639,1.307,0.99905
2018-07-19,112.47,1.16425,1.30145,0.99919
2018-07-20,111.42,1.1723,1.31325,0.9927
2018-07-23,111.34,1.16925,1.3101,0.99267
2018-07-24,111.205,1.1684,1.3144,0.99357
2018-07-25,110.965,1.17285,1.31915,0.99167
2018-07-26,111.22,1.16425,1.31095,0.9941
2018-07-27,111.05,1.1658,1.31105,0.99485
2018-07-30,111.05,1.1707,1.31245,0.98779
2018-07-31,111.865,1.16905,1.31245,0.99038
2018-08-01,111.71,1.16605,1.31265,0.9921
2018-08-02,111.65,1.15845,1.30165,0.99525
2018-08-03,111.28,1.15675,1.30045,0.99455
2018-08-06,111.385,1.15535,1.29435,0.99655
2018-08-07,111.38,1.1599,1.2939,0.99559
2018-08-08,110.95,1.16105,1.28825,0.99335
2018-08-09,111.08,1.1526,1.28245,0.99365
2018-08-10,110.915,1.1411,1.27745,0.99535
2018-08-13,110.73,1.14105,1.2766,0.99305
2018-08-14,111.14,1.13445,1.27205,0.9942
2018-08-15,110.745,1.1344,1.26965,0.99355
2018-08-16,110.9,1.1376,1.2713,0.9968
2018-08-17,110.515,1.1438,1.2751,0.9961
2018-08-20,110.07,1.14825,1.2796,0.99135
2018-08-21,110.305,1.157,1.29025,0.98491
2018-08-22,110.55,1.15975,1.29125,0.9831
2018-08-23,111.28,1.1542,1.2815,0.98605


数据来源：Wind
